show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,year_added,month_added,duration_minutes,num_seasons,primary_genre
s1,Movie,Hidden Signal,Director 22,"Actor 253, Actor 748",France,2026-08-25,2024,TV-MA,90 min,Dramas,A gripping story that unfolds over time.,2026,August,90.0,,Dramas
s2,Movie,Broken Chronicles,Director 265,"Actor 346, Actor 565",Italy,2018-12-02,2017,PG,129 min,Crime TV Shows,A gripping story that unfolds over time.,2018,December,129.0,,Crime TV Shows
s3,TV Show,Hidden Dreams,Director 270,"Actor 863, Actor 816",United Kingdom,2015-12-15,2013,TV-14,4 Seasons,Sci-Fi & Fantasy,A gripping story that unfolds over time.,2015,December,,4.0,Sci-Fi & Fantasy
s4,Movie,Silent Kingdom,Director 379,"Actor 773, Actor 490",Australia,2006-08-07,2006,TV-PG,77 min,Sci-Fi & Fantasy,A gripping story that unfolds over time.,2006,August,77.0,,Sci-Fi & Fantasy
s5,Movie,Silent Kingdom,Not Given,"Actor 398, Actor 871",United Kingdom,2024-08-27,2024,TV-14,74 min,Action & Adventure,A gripping story that unfolds over time.,2024,August,74.0,,Action & Adventure
s6,Movie,Dark Heist,Director 45,"Actor 574, Actor 953",United States,2013-12-21,2012,R,155 min,Children & Family Movies,A gripping story that unfolds over time.,2013,December,155.0,,Children & Family Movies
s7,TV Show,Silent Storm,Director 165,"Actor 225, Actor 819",Mexico,2024-04-10,2021,TV-PG,6 Seasons,Comedies,A gripping story that unfolds over time.,2024,April,,6.0,Comedies
s8,Movie,Hidden Signal,Not Given,"Actor 225, Actor 385",South Korea,2025-08-19,2024,TV-Y7,123 min,Anime Series,A gripping story that unfolds over time.,2025,August,123.0,,Anime Series
s9,TV Show,Rising Heist,Director 252,"Actor 955, Actor 932",United States,2016-06-19,2015,PG-13,6 Seasons,"Crime TV Shows, Sci-Fi & Fantasy",A gripping story that unfolds over time.,2016,June,,6.0,Crime TV Shows
s10,TV Show,Final Chronicles,Not Given,"Actor 304, Actor 254",United States,2024-07-12,2021,TV-MA,4 Seasons,Kids' TV,A gripping story that unfolds over time.,2024,July,,4.0,Kids' TV
s11,Movie,Secret Horizon,Not Given,"Actor 878, Actor 338",United States,2025-09-02,2023,PG-13,94 min,Thrillers,A gripping story that unfolds over time.,2025,September,94.0,,Thrillers
s12,TV Show,Lost City,Director 283,"Actor 27, Actor 226",South Korea,2018-04-21,2018,TV-PG,6 Seasons,Children & Family Movies,A gripping story that unfolds over time.,2018,April,,6.0,Children & Family Movies
s13,Movie,Golden Horizon,Not Given,"Actor 253, Actor 981",United States,2019-01-23,2016,TV-MA,129 min,Comedies,A gripping story that unfolds over time.,2019,January,129.0,,Comedies
s14,Movie,Endless Kingdom,Director 39,"Actor 477, Actor 682",India,2015-09-23,2014,TV-PG,78 min,"Sci-Fi & Fantasy, Dramas",A gripping story that unfolds over time.,2015,September,78.0,,Sci-Fi & Fantasy
